"aa","Afaraf"
"ab","Аҧсуа"
"ae","Avesta"
"af","Afrikaans"
"ak","Akan"
"am","አማርኛ"
"an","Aragonés"
"ar","‫العربية"
"as","অসমীয়া"
"av","авар мацӀ"
"ay","Aymar aru"
"az","Azərbaycan dili"
"ba","башҡорт теле"
"be","Беларуская"
"bg","български език"
"bh","भोजपुरी"
"bi","Bislama"
"bm","Bamanankan"
"bn","বাংলা"
"bo","བོད་ཡིག"
"br","Brezhoneg"
"bs","Bosanski jezik"
"ca","Català"
"ce","нохчийн мотт"
"ch","Chamoru"
"co","Corsu"
"cr","ᓀᐦᐃᔭᐍᐏᐣ"
"cs","Česky ; čeština"
"cu","Словѣньскъ"
"cv","чӑваш чӗлхи"
"cy","Cymraeg"
"da","Dansk"
"de","Deutsch"
"dv","‫ދިވެހި"
"dz","རྫོང་ཁ"
"ee","Ɛʋɛgbɛ"
"el","Ελληνικά"
"en","English"
"eo","Esperanto"
"es","Español"
"et","Eesti keel"
"eu","Euskara"
"fa","‫فارسی"
"ff","Fulfulde"
"fi","Suomen kieli"
"fj","Vosa Vakaviti"
"fo","Føroyskt"
"fr","Français"
"fy","Frysk"
"ga","Gaeilge"
"gd","Gàidhlig"
"gl","Galego"
"gn","Avañe'ẽ"
"gu","ગુજરાતી"
"gv","Ghaelg"
"ha","‫هَوُسَ"
"he","‫עברית"
"hi","हिन्दी"
"ho","Hiri Motu"
"hr","Hrvatski"
"ht","Kreyòl ayisyen"
"hu","Magyar"
"hy","Հայերեն"
"hz","Otjiherero"
"ia","Interlingua"
"id","Bahasa Indonesia"
"ie","Interlingue"
"ig","Igbo"
"ii","ꆇꉙ"
"ik","Iñupiaq"
"io","Ido"
"is","Íslenska"
"it","Italiano"
"iu","ᐃᓄᒃᑎᑐᑦ"
"ja","日本語 (にほんご)"
"jv","Basa Jawa"
"ka","ქართული"
"kg","KiKongo"
"ki","Gĩkũyũ"
"kj","Kuanyama"
"kk","Қазақ тілі"
"kl","Kalaallisut"
"km","ភាសាខ្មែរ"
"kn","ಕನ್ನಡ"
"ko","조선말 (朝 鮮語)"
"kr","Kanuri"
"ks","كشميري"
"ku","كوردی"
"kv","коми кыв"
"kw","Kernewek"
"ky","кыргыз тили"
"la","Latine"
"lb","Lëtzebuergesch"
"lg","Luganda"
"li","Limburgs"
"ln","Lingála"
"lo","ພາສາລາວ"
"lt","Lietuvių kalba"
"lu","cilubà"
"lv","Latviešu valoda"
"mg","Fiteny malagasy"
"mh","Kajin M̧ajeļ"
"mi","Te reo Māori"
"mk","македонски јазик"
"ml","മലയാളം"
"mn","Монгол"
"mo","лимба молдовеняскэ"
"mr","मराठी"
"ms"," بهاس ملايو"
"mt","Malti"
"my","ဗမာစာ"
"na","Ekakairũ Naoero"
"nb","Norsk bokmål"
"nd","isiNdebele"
"ne","नेपाली"
"ng","Owambo"
"nl","Nederlands"
"nn","Norsk nynorsk"
"no","Norsk"
"nr","Ndébélé"
"nv","Dinékʼehǰí"
"ny","chinyanja"
"oc","Occitan"
"oj","ᐊᓂᔑᓈᐯᒧᐎᓐ"
"om","Afaan Oromoo"
"or","ଓଡ଼ିଆ"
"os","Ирон æвзаг"
"pa","ਪੰਜਾਬੀ"
"pi","पािऴ"
"pl","Polski"
"ps","‫پښتو"
"pt","Português"
"qu"," Kichwa"
"rm","Rumantsch grischun"
"rn","kiRundi"
"ro","Română"
"ru","русский язык"
"rw","Kinyarwanda"
"sa","संस्कृतम्"
"sc","sardu"
"sd","‫سنڌي، سندھی"
"se","Davvisámegiella"
"sg","Yângâ tî sängö"
"si","සිංහල"
"sk","Slovenčina"
"sl","Slovenščina"
"sm","Gagana fa'a Samoa"
"sn","chiShona"
"so"," af Soomaali"
"sq","Shqip"
"sr","српски језик"
"ss","SiSwati"
"st","seSotho"
"su","Basa Sunda"
"sv","Svenska"
"sw","Kiswahili"
"ta","தமிழ்"
"te","తెలుగు"
"tg","‫تاجیکی"
"th","ไทย"
"ti","ትግርኛ"
"tk","Түркмен"
"tl","Tagalog"
"tn","seTswana"
"to","faka Tonga"
"tr","Türkçe"
"ts","xiTsonga"
"tt","‫تاتارچا"
"tw","Twi"
"ty","Reo Mā`ohi"
"ug","‫ئۇيغۇرچ"
"uk","українська мова"
"ur","‫اردو"
"uz","أۇزبېك"
"ve","tshiVenḓa"
"vi","Tiếng Việt"
"vo","Volapük"
"wa","Walon"
"wo","Wollof"
"xh","isiXhosa"
"yi","‫ייִדיש"
"yo","Yorùbá"
"za","Saw cuengh"
"zh","中文"
"zu","isiZulu"
